"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","現金給与総      額（万円）","原   材   料使 用 額 等（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　（万円）","従業者規　模"
"12　木材_ 20～ 29人","9.0","161.0","68.0","229.0","-","-","-","229.0","77396.0","332404.0","464358.0","27514.0","-","-","491872.0","149594.0"," 20～ 29人"
"12　木材_ 30～ 99人","6.0","266.0","62.0","328.0","-","-","-","328.0","χ","χ","χ","χ","197992.0","-","χ","χ"," 30～ 99人"
"12　木材_100～299人","1.0","95.0","16.0","111.0","-","-","-","111.0","χ","χ","χ","χ","-","-","χ","χ","100～299人"
"12　木材_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"13　家具","100.0","867.0","360.0","1227.0","29.0","15.0","44.0","1271.0","358891.0","934570.0","1598441.0","30141.0","29415.0","-","1657997.0","663010.0","13　家具"
"13　家具_  4～  9人","59.0","205.0","87.0","292.0","27.0","15.0","42.0","334.0","77518.0","162519.0","295115.0","16714.0","454.0","-","312283.0","139707.0","  4～  9人"
"13　家具_ 10～ 19人","31.0","308.0","103.0","411.0","1.0","-","1.0","412.0","128032.0","273621.0","464571.0","13427.0","28961.0","-","506959.0","217666.0"," 10～ 19人"
"13　家具_ 20～ 29人","6.0","108.0","41.0","149.0","1.0","-","1.0","150.0","53405.0","126649.0","268407.0","-","-","-","268407.0","132237.0"," 20～ 29人"
"13　家具_ 30～ 99人","2.0","118.0","14.0","132.0","-","-","-","132.0","χ","χ","χ","-","-","-","χ","χ"," 30～ 99人"
"13　家具_100～299人","2.0","128.0","115.0","243.0","-","-","-","243.0","χ","χ","χ","-","-","-","χ","χ","100～299人"
"13　家具_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"14　紙パ","35.0","622.0","304.0","926.0","6.0","3.0","9.0","935.0","347622.0","2186613.0","3132053.0","116240.0","217355.0","-","3465648.0","1107982.0","14　紙パ"
"14　紙パ_  4～  9人","17.0","52.0","37.0","89.0","6.0","3.0","9.0","98.0","25249.0","75128.0","129327.0","9951.0","2165.0","-","141443.0","61862.0","  4～  9人"
"14　紙パ_ 10～ 19人","10.0","96.0","54.0","150.0","-","-","-","150.0","χ","χ","χ","χ","χ","-","χ","χ"," 10～ 19人"
"14　紙パ_ 20～ 29人","2.0","42.0","5.0","47.0","-","-","-","47.0","χ","χ","χ","χ","χ","-","χ","χ"," 20～ 29人"
"14　紙パ_ 30～ 99人","3.0","117.0","54.0","171.0","-","-","-","171.0","82256.0","985415.0","1080788.0","-","110487.0","-","1191275.0","160928.0"," 30～ 99人"
"14　紙パ_100～299人","3.0","315.0","154.0","469.0","-","-","-","469.0","175102.0","864858.0","1551284.0","92615.0","90034.0","-","1733933.0","756663.0","100～299人"
"14　紙パ_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"15　印刷","64.0","618.0","302.0","920.0","15.0","10.0","25.0","945.0","310900.0","526017.0","1166518.0","39252.0","56943.0","50.0","1262763.0","661847.0","15　印刷"
"15　印刷_  4～  9人","40.0","110.0","87.0","197.0","13.0","9.0","22.0","219.0","51231.0","92451.0","195072.0","14533.0","4437.0","-","214042.0","113425.0","  4～  9人"
"15　印刷_ 10～ 19人","12.0","118.0","55.0","173.0","2.0","1.0","3.0","176.0","53329.0","84045.0","180793.0","23838.0","9158.0","-","213789.0","121032.0"," 10～ 19人"
"15　印刷_ 20～ 29人","5.0","94.0","38.0","132.0","-","-","-","132.0","53211.0","147069.0","284468.0","-","19037.0","-","303505.0","145929.0"," 20～ 29人"
"15　印刷_ 30～ 99人","7.0","296.0","122.0","418.0","-","-","-","418.0","153129.0","202452.0","506185.0","881.0","24311.0","50.0","531427.0","281461.0"," 30～ 99人"
"15　印刷_100～299人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100～299人"
"15　印刷_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"16　化学","72.0","3876.0","1081.0","4957.0","2.0","1.0","3.0","4960.0","2792844.0","1.7041097E7","3.2934152E7","643354.0","548280.0","-","3.4125786E7","1.4635682E7","16　化学"
"16　化学_  4～  9人","17.0","70.0","32.0","102.0","2.0","1.0","3.0","105.0","39799.0","146768.0","220507.0","14206.0","6581.0","-","241294.0","88177.0","  4～  9人"
"16　化学_ 10～ 19人","8.0","74.0","35.0","109.0","-","-","-","109.0","44384.0","128747.0","232455.0","80.0","27801.0","-","260336.0","122751.0"," 10～ 19人"
"16　化学_ 20～ 29人","13.0","261.0","61.0","322.0","-","-","-","322.0","132763.0","877354.0","1252244.0","46015.0","84380.0","-","1382639.0","471721.0"," 20～ 29人"
"16　化学_ 30～ 99人","28.0","1143.0","410.0","1553.0","-","-","-","1553.0","683331.0","4510422.0","6657415.0","582451.0","290475.0","-","7530341.0","2560181.0"," 30～ 99人"
"16　化学_100～299人","5.0","666.0","281.0","947.0","-","-","-","947.0","χ","χ","χ","602.0","139043.0","-","χ","χ","100～299人"
"16　化学_300人以上","1.0","1662.0","262.0","1924.0","-","-","-","1924.0","χ","χ","χ","-","-","-","χ","χ","300人以上 "
"17　石油","9.0","897.0","55.0","952.0","-","-","-","952.0","635747.0","6.4721404E7","7.2788124E7","133962.0","405958.0","2576.0","7.333062E7","-791336.0","17　石油"
"17　石油_  4～  9人","2.0","13.0","2.0","15.0","-","-","-","15.0","χ","χ","χ","-","χ","-","χ","χ","  4～  9人"
"17　石油_ 10～ 19人","1.0","8.0","3.0","11.0","-","-","-","11.0","χ","χ","χ","χ","χ","-","χ","χ"," 10～ 19人"
"17　石油_ 20～ 29人","1.0","20.0","4.0","24.0","-","-","-","24.0","χ","χ","-","χ","-","-","χ","χ"," 20～ 29人"
"17　石油_ 30～ 99人","2.0","125.0","7.0","132.0","-","-","-","132.0","χ","χ","χ","-","χ","χ","χ","χ"," 30～ 99人"
"17　石油_100～299人","2.0","264.0","16.0","280.0","-","-","-","280.0","χ","χ","χ","χ","χ","-","χ","χ","100～299人"
"17　石油_300人以上","1.0","467.0","23.0","490.0","-","-","-","490.0","χ","χ","χ","-","χ","χ","χ","χ","300人以上 "
"18　プラ","94.0","1222.0","763.0","1985.0","11.0","5.0","16.0","2001.0","710408.0","2876781.0","4736905.0","93630.0","145045.0","-","4975580.0","1997561.0","18　プラ"
"18　プラ_  4～  9人","40.0","117.0","112.0","229.0","10.0","5.0","15.0","244.0","58635.0","135166.0","224306.0","27544.0","19307.0","-","271157.0","126856.0","  4～  9人"
"18　プラ_ 10～ 19人","19.0","163.0","104.0","267.0","-","-","-","267.0","76490.0","202288.0","303080.0","39812.0","25382.0","-","368274.0","154839.0"," 10～ 19人"
"18　プラ_ 20～ 29人","13.0","182.0","138.0","320.0","-","-","-","320.0","102192.0","290238.0","472607.0","19074.0","33468.0","-","525149.0","219133.0"," 20～ 29人"
"18　プラ_ 30～ 99人","21.0","697.0","354.0","1051.0","1.0","-","1.0","1052.0","χ","χ","χ","7200.0","χ","-","χ","χ"," 30～ 99人"
"18　プラ_100～299人","1.0","63.0","55.0","118.0","-","-","-","118.0","χ","χ","χ","-","χ","-","χ","χ","100～299人"
"18　プラ_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"19　ゴム","16.0","582.0","412.0","994.0","-","-","-","994.0","338820.0","940390.0","1459144.0","100840.0","261790.0","-","1821774.0","752274.0","19　ゴム"
"19　ゴム_  4～  9人","1.0","4.0","2.0","6.0","-","-","-","6.0","χ","χ","χ","χ","χ","-","χ","χ","  4～  9人"
"19　ゴム_ 10～ 19人","6.0","40.0","53.0","93.0","-","-","-","93.0","χ","χ","χ","χ","-","-","χ","χ"," 10～ 19人"
"19　ゴム_ 20～ 29人","1.0","9.0","17.0","26.0","-","-","-","26.0","χ","χ","χ","χ","χ","-","χ","χ"," 20～ 29人"
"19　ゴム_ 30～ 99人","7.0","223.0","144.0","367.0","-","-","-","367.0","χ","χ","χ","χ","χ","-","χ","χ"," 30～ 99人"
"19　ゴム_100～299人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100～299人"
"19　ゴム_300人以上","1.0","306.0","196.0","502.0","-","-","-","502.0","χ","χ","χ","χ","χ","-","χ","χ","300人以上 "
"20　皮革","11.0","64.0","45.0","109.0","-","3.0","3.0","112.0","36720.0","88177.0","115799.0","34768.0","-","-","150567.0","57553.0","20　皮革"
"20　皮革_  4～  9人","8.0","25.0","16.0","41.0","-","3.0","3.0","44.0","15328.0","41350.0","32477.0","34639.0","-","-","67116.0","24036.0","  4～  9人"
"20　皮革_ 10～ 19人","2.0","23.0","6.0","29.0","-","-","-","29.0","χ","χ","χ","χ","-","-","χ","χ"," 10～ 19人"
"20　皮革_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"," 20～ 29人"
"20　皮革_ 30～ 99人","1.0","16.0","23.0","39.0","-","-","-","39.0","χ","χ","χ","χ","-","-","χ","χ"," 30～ 99人"
"20　皮革_100～299人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100～299人"
"20　皮革_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"21　窯業","90.0","1227.0","195.0","1422.0","3.0","2.0","5.0","1427.0","596053.0","2954450.0","4122730.0","743880.0","320849.0","-","5187459.0","2028852.0","21　窯業"
"21　窯業_  4～  9人","31.0","144.0","41.0","185.0","3.0","1.0","4.0","189.0","64737.0","363732.0","588498.0","16113.0","26799.0","-","631410.0","249714.0","  4～  9人"
"21　窯業_ 10～ 19人","37.0","417.0","75.0","492.0","-","1.0","1.0","493.0","199146.0","1197369.0","1689133.0","36422.0","187124.0","-","1912679.0","670778.0"," 10～ 19人"
"21　窯業_ 20～ 29人","16.0","329.0","51.0","380.0","-","-","-","380.0","147115.0","433645.0","808383.0","16353.0","56017.0","-","880753.0","417154.0"," 20～ 29人"
"21　窯業_ 30～ 99人","5.0","190.0","9.0","199.0","-","-","-","199.0","χ","χ","χ","χ","50909.0","-","χ","χ"," 30～ 99人"
"21　窯業_100～299人","1.0","147.0","19.0","166.0","-","-","-","166.0","χ","χ","χ","χ","-","-","χ","χ","100～299人"
"21　窯業_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"22　鉄鋼","31.0","3272.0","235.0","3507.0","-","-","-","3507.0","2107249.0","6.6147701E7","8.7000972E7","236490.0","1423316.0","334080.0","8.8994858E7","2.1081929E7","22　鉄鋼"
"22　鉄鋼_  4～  9人","7.0","39.0","6.0","45.0","-","-","-","45.0","15737.0","158081.0","170292.0","4673.0","27278.0","-","202243.0","41196.0","  4～  9人"
"22　鉄鋼_ 10～ 19人","3.0","37.0","6.0","43.0","-","-","-","43.0","13640.0","52878.0","238573.0","11654.0","1883.0","-","252110.0","185851.0"," 10～ 19人"
"22　鉄鋼_ 20～ 29人","6.0","97.0","41.0","138.0","-","-","-","138.0","39208.0","244815.0","290398.0","17325.0","5645.0","-","313368.0","63949.0"," 20～ 29人"
"22　鉄鋼_ 30～ 99人","8.0","283.0","49.0","332.0","-","-","-","332.0","119658.0","700690.0","1031230.0","48321.0","190929.0","-","1270480.0","513966.0"," 30～ 99人"
"22　鉄鋼_100～299人","4.0","648.0","24.0","672.0","-","-","-","672.0","334023.0","2934267.0","3444397.0","154517.0","225412.0","-","3824326.0","727521.0","100～299人"
"22　鉄鋼_300人以上","3.0","2168.0","109.0","2277.0","-","-","-","2277.0","1584983.0","6.205697E7","8.1826082E7","-","972169.0","334080.0","8.3132331E7","1.9549446E7","300人以上 "
"23　非鉄","10.0","402.0","137.0","539.0","1.0","-","1.0","540.0","235025.0","2550569.0","2933867.0","10020.0","18361.0","-","2962248.0","366103.0","23　非鉄"
"23　非鉄_  4～  9人","2.0","6.0","3.0","9.0","1.0","-","1.0","10.0","χ","χ","χ","χ","-","-","χ","χ","  4～  9人"
"23　非鉄_ 10～ 19人","1.0","11.0","4.0","15.0","-","-","-","15.0","χ","χ","χ","χ","-","-","χ","χ"," 10～ 19人"
"23　非鉄_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"," 20～ 29人"
"23　非鉄_ 30～ 99人","5.0","267.0","21.0","288.0","-","-","-","288.0","χ","χ","χ","χ","18361.0","-","χ","χ"," 30～ 99人"
"23　非鉄_100～299人","2.0","118.0","109.0","227.0","-","-","-","227.0","χ","χ","χ","χ","-","-","χ","χ","100～299人"
"23　非鉄_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"24　金属","160.0","2594.0","570.0","3164.0","26.0","14.0","40.0","3204.0","1214636.0","4672416.0","7003283.0","870140.0","335328.0","-","8208751.0","3165440.0","24　金属"
"24　金属_  4～  9人","62.0","282.0","82.0","364.0","19.0","11.0","30.0","394.0","117506.0","261670.0","374699.0","125739.0","19456.0","-","519894.0","240882.0","  4～  9人"
